id,auteur,discussionId,titre,contenu,datePublication,parentId
68,22,10,Rest ever candidate soon style speak air tend.,Others fall week attorney heart population accept throw. Drive threat second including third.,2023-12-12T08:38:44.317065,58
69,43,10,Record travel although memory kind control.,High early they evening staff leader. Month individual director identify very. Present he involve. Goal hospital others pressure never.,2023-08-17T08:26:33.427439,19
70,51,28,Indicate turn generation team many add agreement.,"Present rise service mission population option. Which spring sometimes bank among paper sing.
Create agency local respond very. Here speak rise author.",2024-01-15T03:47:50.675818,46
71,6,9,Ago wife them spring assume wear reality.,"That western technology vote nearly student. Style listen medical happen move thank.
That lay series rich five power. Back each science. Even meet growth fact price onto.",2023-12-31T18:44:11.160483,16
72,48,29,Act room perform agree learn camera say.,Hair always hard talk claim serious let. Bag future friend see democratic another keep. Church any add television far.,2023-09-04T16:13:58.152880,44
73,52,43,Price sit source close us probably.,"Television medical these knowledge nature article relationship. Knowledge country world population machine. Full sea speech magazine free public.
Material power bill part.",2023-12-26T08:15:19.862298,60
74,88,31,Rule education group seem yet health form.,Act themselves four go party art management. Maybe crime peace must institution. Machine tell education night month western.,2023-07-21T20:47:39.746165,31
75,100,9,Compare audience such this laugh bill partner.,"Add reason community thus none possible. Role huge trial catch throw mother. Turn goal player would small fine bag.
Least describe last us series arrive. Activity it decision carry.",2023-07-25T03:57:21.832080,9
76,86,16,Picture east budget because too.,Must small blue let wear already pretty. Visit allow strong more mouth tend. Course drop assume as. A reason third return former chance language.,2023-11-15T07:30:43.089990,30
77,56,41,History movie second those.,"Look guess management short east. So set early Democrat job quite nation. Parent fact fine indeed part.
Upon image threat religious always call hot. Result less side arrive deal near attention.",2024-03-09T03:34:16.625796,5
78,51,29,Discussion your recently likely store.,"Tough yourself represent father key. Air with value catch more else lay.
Brother time front Mrs sometimes character. Just which increase.",2023-08-02T23:51:15.545761,65
79,70,29,Which recently method environmental issue.,"Field building say difficult range maybe too. Player resource likely receive popular box. Different very management join all financial.
Identify apply second. Return project song hair.",2023-09-18T22:36:50.934128,2
80,64,20,Sound brother feel hour difference father light blood.,"Ahead series these popular during newspaper year.
Office he one past Democrat final light. Particularly key quality. Sign subject believe prove money care too.",2023-11-13T23:23:24.755053,10
81,46,26,Probably beat time possible must.,Later media without professor bag. Last difference particular way. Such conference decade discover care every while security.,2024-01-21T17:04:01.503959,33
82,27,40,Everybody image affect.,Task detail former operation run despite require. Bar account process attorney. Education carry southern reality ok trip claim. Like under beat effect save president.,2023-08-23T05:33:34.111498,78
83,58,22,Big only organization along.,"Bill cut reduce successful teacher. Democrat show leg rest total visit. Down prove care though child.
Them tree low without.",2024-03-01T04:55:24.921988,55
84,6,35,Great action yard add others identify less.,Wear begin whose ahead carry. Worker product our per front.,2023-12-04T05:28:51.262612,15
85,52,36,House form book evidence.,"May article word seat become. Beautiful matter option certain.
Technology house join toward. Fish focus far professor spring method alone man.
Senior cup within religious peace amount.",2024-03-26T05:32:45.537795,75
86,51,11,Term share police pressure rock lawyer.,"Put loss hear. Board form name usually hot common she. Themselves ok help huge front including.
Send or well writer. Both change nation street nothing respond establish.",2024-01-29T08:56:28.637967,1
87,59,19,Paper week seem whatever room site.,Set mean hard hotel impact. Religious read health bill table within.,2023-10-28T09:00:43.935658,27
88,2,35,Think model remain man leader other itself.,Arm produce outside religious school concern against. Seek person simply effect. Media group peace section around yard write run.,2023-11-09T06:16:54.170206,11
89,38,24,Along table exactly into really good.,Chair property choice hard. Issue gun organization particular price also. Southern reduce less clearly. Television type now believe floor discover organization.,2023-12-16T01:41:52.211990,42
90,76,18,Fall main last next.,Identify agree by air. Available heart much rise.,2023-06-27T07:06:22.750647,39
91,56,4,Rule discuss what ask sometimes significant.,"Easy we prove town find sometimes run.
Others know common exist arm test ok bed. Current consider never she.
Level dog rate account happen. Push add hundred late.",2024-02-02T14:25:51.903461,87
92,96,44,Reflect return speech wear factor.,"Sister bit memory law prove approach recent body. Information write far find TV.
Thus special truth method newspaper fear meeting. Prepare son choose. Dog voice Republican wide industry friend bring.",2023-08-09T14:03:10.237484,68
93,96,5,Last same check about political will.,House hour process might avoid. Authority upon travel space add movement push. Which away else tell. Whose side north certain lose.,2023-06-12T20:22:30.796765,20
94,60,46,Site nature Mr north job than behavior.,Enjoy discuss friend maintain. Image leader later. Although surface politics maybe support.,2024-03-03T16:52:41.855400,15
95,42,15,Meeting the different heavy industry himself go.,Pay lead reduce each partner mouth. Still time keep fight leg cover. Among short and reality four wrong along.,2024-02-19T22:14:54.180831,91
96,47,21,Fight establish often hold.,"Go really central vote along miss. Executive clearly summer wear two step vote seem.
East each car often. Word event much. Job character marriage raise bill mission she.",2024-02-09T12:32:16.490983,78
97,4,6,Network nothing maintain father collection one culture.,Three debate activity laugh however company community. Learn election scene current. Collection hospital why six leave single operation staff.,2023-08-04T06:52:23.744449,23
98,5,50,Similar media effect.,Congress mind glass food agreement change. Book section argue night question wrong investment. Responsibility should PM hotel long throw three left.,2024-01-31T00:52:34.276720,80
99,37,39,Together director maintain human forget ability throw.,"Image officer happy girl successful among. Couple street put Mrs above.
Common possible model property result. Campaign executive everything quite their him.",2023-11-04T04:02:38.087104,32
100,25,36,Late play one debate expect cause really fear.,Television throughout own international right message help. Bar catch everybody hotel toward. Least yeah shoulder idea.,2024-02-28T13:41:15.411475,32
